Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-03-07,Equal Weighted Portfolio,0.0055322194797848175,0.02770089798358906,0.03475213409038468,False,False
2025-03-10,Equal Weighted Portfolio,-0.04006249578629768,0.02770089798358906,0.03475213409038468,True,True
2025-03-11,Equal Weighted Portfolio,-0.002431109368999507,0.028434681860883295,0.03565563642827282,False,False
2025-03-12,Equal Weighted Portfolio,0.01682081496209542,0.028434681860883295,0.03565563642827282,False,False
2025-03-13,Equal Weighted Portfolio,-0.019434613122010294,0.028434681860883295,0.03565563642827282,False,False
2025-03-14,Equal Weighted Portfolio,0.027038369397220843,0.028434681860883295,0.03565563642827282,False,False
2025-03-17,Equal Weighted Portfolio,-0.00645358427009306,0.028434681860883295,0.03565563642827282,False,False
2025-03-18,Equal Weighted Portfolio,-0.018416061248227256,0.028434681860883295,0.03565563642827282,False,False
2025-03-19,Equal Weighted Portfolio,0.015521172522883299,0.028434681860883295,0.03565563642827282,False,False
2025-03-20,Equal Weighted Portfolio,-0.0019287160065314837,0.028434681860883295,0.03565563642827282,False,False
2025-03-21,Equal Weighted Portfolio,0.00752682219493599,0.028434681860883295,0.03565563642827282,False,False
2025-03-24,Equal Weighted Portfolio,0.02110184032184126,0.028434681860883295,0.03565563642827282,False,False
2025-03-25,Equal Weighted Portfolio,0.008385419872313893,0.028434681860883295,0.03565563642827282,False,False
2025-03-26,Equal Weighted Portfolio,-0.027087731344518074,0.028434681860883295,0.03565563642827282,False,False
2025-03-27,Equal Weighted Portfolio,-0.005121850527216964,0.028434681860883295,0.03565563642827282,False,False
2025-03-28,Equal Weighted Portfolio,-0.03286443843899165,0.028434681860883295,0.03565563642827282,True,False
2025-03-31,Equal Weighted Portfolio,-0.0026054722760985747,0.02892830562928594,0.03598531957412351,False,False
2025-04-01,Equal Weighted Portfolio,0.013243856407677158,0.02892830562928594,0.03598531957412351,False,False
2025-04-02,Equal Weighted Portfolio,0.005062606518961932,0.02892830562928594,0.03598531957412351,False,False
2025-04-03,Equal Weighted Portfolio,-0.06463202791227463,0.02892830562928594,0.03598531957412351,True,True
2025-04-04,Equal Weighted Portfolio,-0.05112015394504499,0.029796850776712173,0.038698877451021046,True,True
2025-04-07,Equal Weighted Portfolio,0.005627501777698041,0.030653276004222706,0.04029766292631877,False,False
2025-04-08,Equal Weighted Portfolio,-0.023366764762115855,0.030653276004222706,0.04029766292631877,False,False
2025-04-09,Equal Weighted Portfolio,0.1320817713666068,0.030653276004222706,0.04029766292631877,False,False
2025-04-10,Equal Weighted Portfolio,-0.04239133086749862,0.030653276004222706,0.04029766292631877,True,True
2025-04-11,Equal Weighted Portfolio,0.027305497159710958,0.03162192416955608,0.04117075547461753,False,False
2025-04-14,Equal Weighted Portfolio,0.0033067833508237275,0.03162192416955608,0.04117075547461753,False,False
2025-04-15,Equal Weighted Portfolio,-0.004990368230691589,0.03162192416955608,0.04117075547461753,False,False
2025-04-16,Equal Weighted Portfolio,-0.038717034471132714,0.03162192416955608,0.04117075547461753,True,False
2025-04-17,Equal Weighted Portfolio,-0.009739237889840147,0.032571479857595946,0.041661928397564836,False,False
2025-04-21,Equal Weighted Portfolio,-0.02830722791628804,0.032571479857595946,0.041661928397564836,False,False
2025-04-22,Equal Weighted Portfolio,0.02758373010896116,0.032571479857595946,0.041661928397564836,False,False
2025-04-23,Equal Weighted Portfolio,0.030252856529561445,0.032571479857595946,0.041661928397564836,False,False
2025-04-24,Equal Weighted Portfolio,0.029158742800450235,0.03186161755433438,0.041661928397564836,False,False
2025-04-25,Equal Weighted Portfolio,0.017404452229416292,0.03186161755433438,0.041661928397564836,False,False
2025-04-28,Equal Weighted Portfolio,-0.0067487420976075855,0.03186161755433438,0.041661928397564836,False,False
2025-04-29,Equal Weighted Portfolio,0.0022507338050064885,0.03186161755433438,0.041661928397564836,False,False
2025-04-30,Equal Weighted Portfolio,-0.002956495619405475,0.03186161755433438,0.041661928397564836,False,False
2025-05-01,Equal Weighted Portfolio,0.029592046570970344,0.03186161755433438,0.041661928397564836,False,False
2025-05-02,Equal Weighted Portfolio,0.005830440040310369,0.03186161755433438,0.041661928397564836,False,False
2025-05-05,Equal Weighted Portfolio,-0.01060246410118153,0.03186161755433438,0.041661928397564836,False,False
2025-05-06,Equal Weighted Portfolio,-0.004647504935994329,0.03186161755433438,0.041661928397564836,False,False
2025-05-07,Equal Weighted Portfolio,-0.0070703370490625035,0.03186161755433438,0.041661928397564836,False,False
2025-05-08,Equal Weighted Portfolio,0.01145071835760856,0.03186161755433438,0.041661928397564836,False,False
2025-05-09,Equal Weighted Portfolio,-0.0006569079914231948,0.03186161755433438,0.041661928397564836,False,False
2025-05-12,Equal Weighted Portfolio,0.051193426083761165,0.03186161755433438,0.041661928397564836,False,False
2025-05-13,Equal Weighted Portfolio,0.017504054707845218,0.03186161755433438,0.041661928397564836,False,False
2025-05-14,Equal Weighted Portfolio,0.01575545247867114,0.03186161755433438,0.041661928397564836,False,False
2025-05-15,Equal Weighted Portfolio,-0.007654227101124156,0.03186161755433438,0.041661928397564836,False,False
