Portfolio,AAPL,GOOG,NVDA,MSFT,AMZN
Equal Weighted Portfolio,0.2,0.2,0.2,0.2,0.2
Long-only Global Minimum Variance Portfolio,0.30017463906540415,0.26337801637721125,0.0,0.35583015869248474,0.0806171858648999
Long-only Tangency Portfolio,0.38715730605398124,0.0,0.5752645443957581,0.037578149550260655,0.0
