Asset,Number of Backtest Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Interpretation
AAPL,344,24,17.200000000000017,0.06976744186046512,0.050000000000000044,-0.038838929495949484,-0.09245612450870921,0.029285531832674974,0.042014989369590305,Reasonable
AMZN,344,21,17.200000000000017,0.061046511627906974,0.050000000000000044,-0.04217227816205886,-0.08979129298487254,0.029969014946951842,0.04555145152467483,Reasonable
GOOG,344,16,17.200000000000017,0.046511627906976744,0.050000000000000044,-0.03923522080709558,-0.07506065297599984,0.029029258902893658,0.041499283682941424,Reasonable
MSFT,344,22,17.200000000000017,0.06395348837209303,0.050000000000000044,-0.035215871617050046,-0.09993146244609463,0.022907809471898757,0.03446238596340976,Reasonable
NVDA,344,13,17.200000000000017,0.0377906976744186,0.050000000000000044,-0.06948220715766994,-0.16968166296755394,0.04978190762973106,0.07118999572966865,Reasonable
