Portfolio,Number of Backtest Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Interpretation
Equal Weighted Portfolio,413,21,20.65000000000002,0.05084745762711865,0.050000000000000044,-0.03464320922842795,-0.0646320166477137,0.025661042267132422,0.035369141773532196,Reasonable
Long-only Global Minimum Variance Portfolio,413,24,20.65000000000002,0.05811138014527845,0.050000000000000044,-0.029602569939865552,-0.053728910782771644,0.020997454427994597,0.030478788230522143,Reasonable
Long-only Tangency Portfolio,413,19,20.65000000000002,0.04600484261501211,0.050000000000000044,-0.04606601416012368,-0.0861118931245827,0.03182594172035842,0.04796464417252754,Reasonable
