Asset,Number of Backtest Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Interpretation
AAPL,421,31,21.05000000000002,0.07363420427553444,0.050000000000000044,-0.039468475298744955,-0.09245611221219108,0.027657712291617505,0.040607911866317146,Reasonable
AMZN,421,27,21.05000000000002,0.06413301662707839,0.050000000000000044,-0.04145383643313574,-0.08979129298487254,0.030136937539211376,0.045018895926879056,Reasonable
GOOG,421,24,21.05000000000002,0.057007125890736345,0.050000000000000044,-0.04122038131418813,-0.07506039944089338,0.028161110094854065,0.04021840628699441,Reasonable
MSFT,421,28,21.05000000000002,0.0665083135391924,0.050000000000000044,-0.03630733730336997,-0.0999314014971282,0.023774282319469077,0.03584327524606127,Reasonable
NVDA,421,16,21.05000000000002,0.03800475059382423,0.050000000000000044,-0.06505472778432661,-0.16968158765575703,0.047209114314506126,0.06609069772045859,Reasonable
