Portfolio,Training Start,Training End,Number of Training Observations,In-Sample Annualized Return,In-Sample Annualized Volatility,In-Sample Sharpe Ratio,Largest Weight,Smallest Weight,Number of Nonzero Weights
Equal Weighted Portfolio,2016-01-01,2025-01-01,2178,0.3902579387387881,0.2781169253538888,1.253692468845197,0.2,0.2,5
Long-only Global Minimum Variance Portfolio,2016-01-01,2025-01-01,2178,0.2925394946890918,0.24874310929037416,1.0771416087756889,0.3558325800019605,0.0,4
Long-only Tangency Portfolio,2016-01-01,2025-01-01,2178,0.6120405686125829,0.3707761247740314,1.4206440788924608,0.5752648131877484,0.0,3
