Portfolio,CAGR,Annualized Volatility,Annualized Sharpe Ratio,"Historical VaR (95%, Daily)","Historical ES (95%, Daily)",Beta vs S&P 500
Equal Weighted Portfolio,0.3737738733250886,0.2754579949192544,1.2104745663837888,0.028449775639226838,0.040419687168565595,1.3042398612487276
Global Minimum Variance Portfolio,0.28118789830742696,0.24589309360695064,1.0405069218811267,0.023848793730757396,0.03578138721652772,1.1775637644436638
Tangency Portfolio,0.5576695270151095,0.3630202295232543,1.3415077557210604,0.03506782994994395,0.05123386039392386,1.5416143822035169
