Model,Portfolio,Confidence Level,Tail Probability,Number of Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Kupiec LR Statistic,Kupiec p-value,Test Decision,Interpretation
EWMA-t,Equal Weighted Portfolio,0.95,0.050000000000000044,418,29,20.90000000000002,0.06937799043062201,0.050000000000000044,-0.028965656481762813,-0.06463202655717022,0.02377440489080007,0.03237313233916665,2.964064783316246,0.08513367365706886,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
EWMA-t,Long-only Global Minimum Variance Portfolio,0.95,0.050000000000000044,418,22,20.90000000000002,0.05263157894736842,0.050000000000000044,-0.028608302653350123,-0.053728943287243605,0.021713223896519536,0.02965593051398445,0.05995486193387478,0.8065672972733259,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
EWMA-t,Long-only Tangency Portfolio,0.95,0.050000000000000044,418,20,20.90000000000002,0.04784688995215311,0.050000000000000044,-0.04176937933799645,-0.08611183997870195,0.03037649221390833,0.04184934763069342,0.04136283252560702,0.8388391680627445,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
