Portfolio,Model,Refit Frequency,Number of Successful Fits,Number of Failed Refits,Latest Fit End Date,Latest mu,Latest omega,Latest alpha[1],Latest beta[1],Latest alpha[1] + beta[1],Latest nu,Average mu,Average omega,Average alpha[1],Average beta[1],Average alpha[1] + beta[1],Average nu,Stationarity Warning
Equal Weighted Portfolio,GARCH-t,20,21,0,2026-08-11,0.21395798974569868,0.0660460301407752,0.12751582365825828,0.8596651088610173,0.9871809325192756,5.39858645214244,0.2185482052099341,0.06303495704749926,0.1279810958668364,0.8605558207453928,0.9885369166122292,5.514757070565026,None
Long-only Global Minimum Variance Portfolio,GARCH-t,20,21,0,2026-08-11,0.16760205179512677,0.03814287396957669,0.11492799363560392,0.8774488455646957,0.9923768392002996,5.431663153940393,0.17076865243046863,0.03537122361222038,0.1141512188970396,0.8794274741291987,0.9935786930262384,5.463841409949744,None
Long-only Tangency Portfolio,GARCH-t,20,21,0,2026-08-11,0.2559453865897238,0.1714960580903133,0.10396933640292991,0.8670564159206483,0.9710257523235782,5.1865322951080906,0.2655611256228478,0.1748333224237957,0.1098935007665602,0.8638452093539479,0.9737387101205082,4.998762961655703,None
