Model,Portfolio,Confidence Level,Tail Probability,Number of Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Kupiec LR Statistic,Kupiec p-value,Test Decision,Interpretation
GARCH-t,Equal Weighted Portfolio,0.95,0.050000000000000044,357,27,17.850000000000016,0.07563025210084033,0.050000000000000044,-0.02758270743848335,-0.06463196239922582,0.022026814467150064,0.03196303765527516,4.296111585217432,0.03819961708788422,Reject VaR model,Reject: VaR model is too optimistic and underestimates risk.
GARCH-t,Long-only Global Minimum Variance Portfolio,0.95,0.050000000000000044,357,21,17.850000000000016,0.058823529411764705,0.050000000000000044,-0.025329646150563667,-0.05372879191694645,0.019706507553345073,0.028550053240590557,0.5551430066962553,0.4562238455877301,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
GARCH-t,Long-only Tangency Portfolio,0.95,0.050000000000000044,357,20,17.850000000000016,0.056022408963585436,0.050000000000000044,-0.04143014287175702,-0.08611194763551062,0.029747626702164343,0.04385227410757439,0.2628091683578475,0.6081967538483883,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
