Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES,Model
2025-01-13,Equal Weighted Portfolio,-0.0082024235317104,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-13,Equal Weighted Portfolio,-0.0082024235317104,0.0220895503844952,0.0300789000345733,False,False,EWMA-t
2025-01-13,Equal Weighted Portfolio,-0.0082024235317104,0.0232241405344507,0.0335580550517736,False,False,GARCH-t
2025-01-14,Equal Weighted Portfolio,-0.0058215479739935,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-14,Equal Weighted Portfolio,-0.0058215479739935,0.0216581548674387,0.0294914773660697,False,False,EWMA-t
2025-01-14,Equal Weighted Portfolio,-0.0058215479739935,0.0224474429817072,0.0324658725985616,False,False,GARCH-t
2025-01-15,Equal Weighted Portfolio,0.0271967786461551,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-15,Equal Weighted Portfolio,0.0271967786461551,0.0211227849020828,0.0287624747657833,False,False,EWMA-t
2025-01-15,Equal Weighted Portfolio,0.0271967786461551,0.0214702426391402,0.0310917456122535,False,False,GARCH-t
2025-01-16,Equal Weighted Portfolio,-0.0178294056575244,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-16,Equal Weighted Portfolio,-0.0178294056575244,0.0231037997279235,0.031459983129525,False,False,EWMA-t
2025-01-16,Equal Weighted Portfolio,-0.0178294056575244,0.0241042353730019,0.0347956334842442,False,False,GARCH-t
2025-01-17,Equal Weighted Portfolio,0.0178181498126118,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-17,Equal Weighted Portfolio,0.0178181498126118,0.0234716313460157,0.0319608521050167,False,False,EWMA-t
2025-01-17,Equal Weighted Portfolio,0.0178181498126118,0.0249543243632866,0.0359910180655113,False,False,GARCH-t
2025-01-21,Equal Weighted Portfolio,0.0042292357642977,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-21,Equal Weighted Portfolio,0.0042292357642977,0.0238109098911773,0.0324228409307808,False,False,EWMA-t
2025-01-21,Equal Weighted Portfolio,0.0042292357642977,0.0247781728633947,0.0357433160139092,False,False,GARCH-t
2025-01-22,Equal Weighted Portfolio,0.0223204775077304,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-22,Equal Weighted Portfolio,0.0223204775077304,0.0231453639579518,0.0315165803122777,False,False,EWMA-t
2025-01-22,Equal Weighted Portfolio,0.0223204775077304,0.0232116765917428,0.0335405284103218,False,False,GARCH-t
2025-01-23,Equal Weighted Portfolio,0.0001796786483514,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-23,Equal Weighted Portfolio,0.0001796786483514,0.0240958300489474,0.032810811024976,False,False,EWMA-t
2025-01-23,Equal Weighted Portfolio,0.0001796786483514,0.0242216607626724,0.0349607556089459,False,False,GARCH-t
2025-01-24,Equal Weighted Portfolio,-0.0063819249900853,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-24,Equal Weighted Portfolio,-0.0063819249900853,0.0233618808479964,0.0318114070415724,False,False,EWMA-t
2025-01-24,Equal Weighted Portfolio,-0.0063819249900853,0.022701038155154,0.0328224749821786,False,False,GARCH-t
2025-01-27,Equal Weighted Portfolio,-0.0394270716678955,0.0234892679363461,0.0328172878391594,True,True,Historical VaR
2025-01-27,Equal Weighted Portfolio,-0.0394270716678955,0.0227887970330866,0.0310310502448037,True,True,EWMA-t
2025-01-27,Equal Weighted Portfolio,-0.0394270716678955,0.0217589646386492,0.031497742902455,True,True,GARCH-t
2025-01-28,Equal Weighted Portfolio,0.0367033138848462,0.0252385890618007,0.0340319516332073,False,False,Historical VaR
2025-01-28,Equal Weighted Portfolio,0.0367033138848462,0.0269918661787178,0.0367542856420518,False,False,EWMA-t
2025-01-28,Equal Weighted Portfolio,0.0367033138848462,0.0301457479225951,0.0432911334046671,False,False,GARCH-t
2025-01-29,Equal Weighted Portfolio,-0.0102522254961451,0.0252385890618007,0.0340319516332073,False,False,Historical VaR
2025-01-29,Equal Weighted Portfolio,-0.0102522254961451,0.0298859777837059,0.0406951396721292,False,False,EWMA-t
2025-01-29,Equal Weighted Portfolio,-0.0102522254961451,0.0336742761729541,0.0482529060111238,False,False,GARCH-t
2025-01-30,Equal Weighted Portfolio,-0.0088268732116976,0.0252385890618007,0.0340319516332073,False,False,Historical VaR
2025-01-30,Equal Weighted Portfolio,-0.0088268732116976,0.0292546677436539,0.0398354973862964,False,False,EWMA-t
2025-01-30,Equal Weighted Portfolio,-0.0088268732116976,0.0320994249986934,0.0460383698472436,False,False,GARCH-t
2025-01-31,Equal Weighted Portfolio,-0.0031306128260204,0.0252385890618007,0.0340319516332073,False,False,Historical VaR
2025-01-31,Equal Weighted Portfolio,-0.0031306128260204,0.028575063293018,0.0389100935651269,False,False,EWMA-t
2025-01-31,Equal Weighted Portfolio,-0.0031306128260204,0.0305177762237112,0.0438142749816453,False,False,GARCH-t
2025-02-03,Equal Weighted Portfolio,-0.0175442465357976,0.0252385890618007,0.0340319516332073,False,False,Historical VaR
2025-02-03,Equal Weighted Portfolio,-0.0175442465357976,0.0277318914100743,0.0377619632348316,False,False,EWMA-t
2025-02-03,Equal Weighted Portfolio,-0.0175442465357976,0.0286979549556918,0.0411898013677127,False,False,GARCH-t
2025-02-04,Equal Weighted Portfolio,0.0172315252822433,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-04,Equal Weighted Portfolio,0.0172315252822433,0.0277581246200576,0.0377976844734688,False,False,EWMA-t
2025-02-04,Equal Weighted Portfolio,0.0172315252822433,0.0288142157900189,0.0413530522347583,False,False,GARCH-t
2025-02-05,Equal Weighted Portfolio,-0.0081618081553446,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-05,Equal Weighted Portfolio,-0.0081618081553446,0.0277524785047683,0.0377899962709289,False,False,EWMA-t
2025-02-05,Equal Weighted Portfolio,-0.0081618081553446,0.0280814500678679,0.0403241189729695,False,False,GARCH-t
2025-02-06,Equal Weighted Portfolio,0.0103008978287475,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-06,Equal Weighted Portfolio,0.0103008978287475,0.0270977786524973,0.036898504544464,False,False,EWMA-t
2025-02-06,Equal Weighted Portfolio,0.0103008978287475,0.0268066507768582,0.0385340742793199,False,False,GARCH-t
2025-02-07,Equal Weighted Portfolio,-0.0203999912109795,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-07,Equal Weighted Portfolio,-0.0203999912109795,0.0265827227350551,0.036197163177922,False,False,EWMA-t
2025-02-07,Equal Weighted Portfolio,-0.0203999912109795,0.0254210659153243,0.0365884669617746,False,False,GARCH-t
2025-02-10,Equal Weighted Portfolio,0.011803832121468,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-10,Equal Weighted Portfolio,0.011803832121468,0.0269925689362311,0.0367552425729365,False,False,EWMA-t
2025-02-10,Equal Weighted Portfolio,0.011803832121468,0.026672084596409,0.0383451194540729,False,False,GARCH-t
2025-02-11,Equal Weighted Portfolio,0.0013081916637957,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-11,Equal Weighted Portfolio,0.0013081916637957,0.0265787378295199,0.0361917370115604,False,False,EWMA-t
