Model,Portfolio,Confidence Level,Tail Probability,Number of Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Kupiec LR Statistic,Kupiec p-value,Test Decision,Interpretation
Historical VaR,Equal Weighted Portfolio,0.95,0.05,427,21,21.35000000000002,0.0491803278688524,0.05,-0.03464319693479762,-0.0646320387122316,0.025494040761463714,0.035114019823648764,0.0060712157038835,0.9378932760095364,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
EWMA-t,Equal Weighted Portfolio,0.95,0.05,427,29,21.35000000000002,0.0679156908665105,0.05,-0.0289656561666825,-0.0646320387122316,0.0236756305006597,0.0322386355830306,2.6073412470042854,0.1063699645169957,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
GARCH-t,Equal Weighted Portfolio,0.95,0.05,427,32,21.35000000000002,0.0749414519906323,0.05,-0.0280167367748413,-0.0646320387122316,0.0220808828869418,0.0320520599418892,4.881872827443743,0.0271401563407002,Reject VaR model,Reject: VaR model is too optimistic and underestimates risk.
Historical VaR,Long-only Global Minimum Variance Portfolio,0.95,0.05,427,24,21.35000000000002,0.0562060889929742,0.05,-0.02960255063054699,-0.053728974313342,0.020905917900448674,0.030373112972343283,0.3334498954397986,0.5636346913751544,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
EWMA-t,Long-only Global Minimum Variance Portfolio,0.95,0.05,427,22,21.35000000000002,0.0515222482435597,0.05,-0.0286082968743601,-0.053728974313342,0.0217204111963463,0.0296657453631772,0.0206334971086903,0.8857818733086281,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
GARCH-t,Long-only Global Minimum Variance Portfolio,0.95,0.05,427,25,21.35000000000002,0.0585480093676815,0.05,-0.0269223332202595,-0.053728974313342,0.0204645779697994,0.0296185649238949,0.6241455611477988,0.4295109282854694,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
Historical VaR,Long-only Tangency Portfolio,0.95,0.05,427,19,21.35000000000002,0.0444964871194379,0.05,-0.046066030944589206,-0.0861120133733052,0.0315411422823604,0.047406865093142424,0.2823028401681426,0.5951958109767043,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
EWMA-t,Long-only Tangency Portfolio,0.95,0.05,427,20,21.35000000000002,0.0468384074941452,0.05,-0.041769402755542,-0.0861120133733052,0.0302547742276724,0.0416816654225857,0.091709168812315,0.7620154433542214,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
GARCH-t,Long-only Tangency Portfolio,0.95,0.05,427,22,21.35000000000002,0.0515222482435597,0.05,-0.0407378890626778,-0.0861120133733052,0.0291317007604172,0.0429254534517226,0.0206334971086903,0.8857818733086281,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
