Portfolio,Rank,Model,Breach Rate,Expected Breach Rate,Absolute Breach Rate Error,Kupiec p-value,Test Decision,Average VaR,Average ES,Model Comment
Equal Weighted Portfolio,1,Historical VaR,0.0513447432762836,0.05,0.0013447432762835956,0.9011104511683908,Do not reject VaR model,0.025710840912020666,0.035445227979029326,Well calibrated and statistically acceptable.
Equal Weighted Portfolio,2,EWMA-t,0.0709046454767726,0.05,0.020904645476772593,0.0672177459262227,Do not reject VaR model,0.0238402911089021,0.0324628516785644,Statistically acceptable but not the closest to target breach frequency.
Equal Weighted Portfolio,3,GARCH-t,0.0782396088019559,0.05,0.028239608801955904,0.0151152817605793,Reject VaR model,0.0223228043342682,0.0323902473778427,Rejected by Kupiec test.
Long-only Global Minimum Variance Portfolio,1,EWMA-t,0.0537897310513447,0.05,0.003789731051344697,0.7281548227468575,Do not reject VaR model,0.0217007895549981,0.0296389509801653,Well calibrated and statistically acceptable.
Long-only Global Minimum Variance Portfolio,2,Historical VaR,0.0586797066014669,0.05,0.0086797066014669,0.4325602359313987,Do not reject VaR model,0.02102684323601528,0.030510285442072477,Statistically acceptable but not the closest to target breach frequency.
Long-only Global Minimum Variance Portfolio,3,GARCH-t,0.0611246943765281,0.05,0.011124694376528098,0.317761536571003,Do not reject VaR model,0.0205396184277566,0.029723930773123,Statistically acceptable but not the closest to target breach frequency.
Long-only Tangency Portfolio,1,EWMA-t,0.0488997555012225,0.05,0.0011002444987775056,0.9183971450646632,Do not reject VaR model,0.0304837458669549,0.0419971199128273,Well calibrated and statistically acceptable.
Long-only Tangency Portfolio,2,Historical VaR,0.0464547677261613,0.05,0.003545232273838704,0.7393076487547916,Do not reject VaR model,0.03191087259974431,0.0481310111863737,Well calibrated and statistically acceptable.
Long-only Tangency Portfolio,3,GARCH-t,0.0537897310513447,0.05,0.003789731051344697,0.7281548227468575,Do not reject VaR model,0.0292832096446543,0.0431543336302496,Well calibrated and statistically acceptable.
