Date,Portfolio,Return,Model,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-01-02,Equal Weighted Portfolio,0.0003105483253321937,EWMA-t,0.020196478515110187,0.027501139698973137,False,False
2025-01-03,Equal Weighted Portfolio,0.017013102252890787,EWMA-t,0.019581593232966446,0.02666386274346695,False,False
2025-01-06,Equal Weighted Portfolio,0.018393019336167216,EWMA-t,0.020129410299308797,0.027409814254751023,False,False
2025-01-07,Equal Weighted Portfolio,-0.02336887537056729,EWMA-t,0.020813402563427206,0.0283411928014845,True,False
2025-01-08,Equal Weighted Portfolio,7.476000082451408e-05,EWMA-t,0.022173339410293452,0.030192991528647194,False,False
2025-01-10,Equal Weighted Portfolio,-0.018603357424076414,EWMA-t,0.02149787026836636,0.029273218746447338,False,False
2025-01-13,Equal Weighted Portfolio,-0.008202438424578108,EWMA-t,0.02208955564721871,0.030078904858978503,False,False
2025-01-14,Equal Weighted Portfolio,-0.005821622807246141,EWMA-t,0.021658160801709413,0.029491483150639992,False,False
2025-01-15,Equal Weighted Portfolio,0.02719679885148287,EWMA-t,0.021122793819667182,0.02876248466942725,False,False
2025-01-16,Equal Weighted Portfolio,-0.017829397596397945,EWMA-t,0.02310381124040503,0.03145999635657861,False,False
2025-01-17,Equal Weighted Portfolio,0.017818213439278544,EWMA-t,0.02347164112337563,0.03196086293039559,False,False
2025-01-21,Equal Weighted Portfolio,0.004229175497555148,EWMA-t,0.023810926384992704,0.03242286086585512,False,False
2025-01-22,Equal Weighted Portfolio,0.022320491406968214,EWMA-t,0.02314537820912824,0.03151659726415092,False,False
2025-01-23,Equal Weighted Portfolio,0.00017964572564193037,EWMA-t,0.02409584501783785,0.03281082885338584,False,False
2025-01-24,Equal Weighted Portfolio,-0.006381827754074409,EWMA-t,0.023361895321661354,0.03181142427345041,False,False
2025-01-27,Equal Weighted Portfolio,-0.03942710804481882,EWMA-t,0.022788806779007437,0.031031061099760757,True,True
2025-01-28,Equal Weighted Portfolio,0.036703289075103916,EWMA-t,0.026991882437224092,0.03675430491949351,False,False
2025-01-29,Equal Weighted Portfolio,-0.01025225668921763,EWMA-t,0.0298859871150234,0.040695149210148614,False,False
2025-01-30,Equal Weighted Portfolio,-0.008826832689907405,EWMA-t,0.029254678414003955,0.03983550881457551,False,False
2025-01-31,Equal Weighted Portfolio,-0.003130599232200183,EWMA-t,0.028575071640525387,0.03891010190248341,False,False
2025-02-03,Equal Weighted Portfolio,-0.01754427200279962,EWMA-t,0.027731899259874775,0.0377619709838562,False,False
2025-02-04,Equal Weighted Portfolio,0.01723157976889125,EWMA-t,0.027758134540126635,0.03779769503875559,False,False
2025-02-05,Equal Weighted Portfolio,-0.008161795648221658,EWMA-t,0.027752493120220986,0.03779001323042401,False,False
2025-02-06,Equal Weighted Portfolio,0.010300898963410578,EWMA-t,0.027097792153492565,0.03689852005583021,False,False
2025-02-07,Equal Weighted Portfolio,-0.02040007421243877,EWMA-t,0.026582735761143866,0.03619717809721929,False,False
2025-02-10,Equal Weighted Portfolio,0.011803874287373707,EWMA-t,0.02699259077764495,0.03675526945243691,False,False
2025-02-11,Equal Weighted Portfolio,0.0013081740654954824,EWMA-t,0.026578761603920652,0.03619176656704093,False,False
2025-02-12,Equal Weighted Portfolio,-0.005056915406735918,EWMA-t,0.025774199843262412,0.03509621095521682,False,False
2025-02-13,Equal Weighted Portfolio,0.014897677820233834,EWMA-t,0.02506801551975629,0.03413461392633691,False,False
2025-02-14,Equal Weighted Portfolio,0.004234630011517671,EWMA-t,0.02500045262014111,0.034042614881087785,False,False
2025-02-18,Equal Weighted Portfolio,-0.0016420921990006887,EWMA-t,0.02429597379448295,0.033083340194419074,False,False
2025-02-19,Equal Weighted Portfolio,0.0040019783230806245,EWMA-t,0.02356466998092562,0.03208753845977582,False,False
2025-02-20,Equal Weighted Portfolio,-0.0007267349905794029,EWMA-t,0.022900934136471034,0.03118374267340123,False,False
2025-02-21,Equal Weighted Portfolio,-0.023217719927836923,EWMA-t,0.022205118574445622,0.030236264579056035,True,False
2025-02-24,Equal Weighted Portfolio,-0.010977668348018478,EWMA-t,0.023384725887078964,0.031842512196450776,False,False
2025-02-25,Equal Weighted Portfolio,-0.012803655229513213,EWMA-t,0.02307965693325223,0.03142710592100866,False,False
2025-02-26,Equal Weighted Portfolio,0.0013021592888880391,EWMA-t,0.02293603024807694,0.031231532344627465,False,False
2025-02-27,Equal Weighted Portfolio,-0.033479437833481396,EWMA-t,0.022243201429059098,0.03028812123832846,True,True
2025-02-28,Equal Weighted Portfolio,0.019792406762834155,EWMA-t,0.025266763548937612,0.03440524513124335,False,False
2025-03-03,Equal Weighted Portfolio,-0.035794422699363775,EWMA-t,0.025703783037114913,0.035000325802685445,True,True
2025-03-04,Equal Weighted Portfolio,0.005175309696617191,EWMA-t,0.028621287129671238,0.03897303260707657,False,False
2025-03-05,Equal Weighted Portfolio,0.01571726276372638,EWMA-t,0.02782389835337147,0.03788724430417977,False,False
2025-03-06,Equal Weighted Portfolio,-0.022126591087904268,EWMA-t,0.027675276709980916,0.037684869193384256,False,False
2025-03-07,Equal Weighted Portfolio,0.005532235918813889,EWMA-t,0.028207741000225457,0.03840991513739742,False,False
2025-03-10,Equal Weighted Portfolio,-0.040062481377233804,EWMA-t,0.027434813558221808,0.03735743534277337,True,True
2025-03-11,Equal Weighted Portfolio,-0.0024310614141948017,EWMA-t,0.030914575277580868,0.04209575707998293,False,False
2025-03-12,Equal Weighted Portfolio,0.01682075959067215,EWMA-t,0.029988035198006906,0.04083410603789669,False,False
2025-03-13,Equal Weighted Portfolio,-0.019434586670778776,EWMA-t,0.029817438596361965,0.04060180806721345,False,False
2025-03-14,Equal Weighted Portfolio,0.02703833070195536,EWMA-t,0.029902239878474422,0.040717280272146696,False,False
2025-03-17,Equal Weighted Portfolio,-0.006453566322193316,EWMA-t,0.030879608950289586,0.04204814413345474,False,False
2025-03-18,Equal Weighted Portfolio,-0.01841606849671671,EWMA-t,0.030046262305968,0.04091339272290503,False,False
2025-03-19,Equal Weighted Portfolio,0.01552117023202797,EWMA-t,0.030017637556959006,0.04087441497632631,False,False
2025-03-20,Equal Weighted Portfolio,-0.0019287057679884478,EWMA-t,0.029736333793599558,0.04049136928406827,False,False
2025-03-21,Equal Weighted Portfolio,0.007526842550880076,EWMA-t,0.0288404200975446,0.03927142157412482,False,False
2025-03-24,Equal Weighted Portfolio,0.021101763272395147,EWMA-t,0.0281180489549509,0.03828778327836384,False,False
2025-03-25,Equal Weighted Portfolio,0.008385513230032716,EWMA-t,0.02849644252386404,0.03880303421144545,False,False
2025-03-26,Equal Weighted Portfolio,-0.027087773185564348,EWMA-t,0.02782442085601436,0.037887955785548384,False,False
2025-03-27,Equal Weighted Portfolio,-0.005121848041810683,EWMA-t,0.029003711357766276,0.03949377200792039,False,False
2025-03-28,Equal Weighted Portfolio,-0.03286441518266967,EWMA-t,0.02819218246351841,0.03838872939003201,True,False
2025-03-31,Equal Weighted Portfolio,-0.002605467244372539,EWMA-t,0.03023468615657069,0.04116996570092028,False,False
2025-04-01,Equal Weighted Portfolio,0.013243801507524511,EWMA-t,0.029331516475270082,0.039940137661406264,False,False
2025-04-02,Equal Weighted Portfolio,0.005062626598632991,EWMA-t,0.028910926527635078,0.03936742876578169,False,False
2025-04-03,Equal Weighted Portfolio,-0.06463197375468044,EWMA-t,0.02810079530982203,0.03826428933586042,True,True
2025-04-04,Equal Weighted Portfolio,-0.051120243016475705,EWMA-t,0.03725941036403449,0.050735391754362466,True,True
2025-04-07,Equal Weighted Portfolio,0.005627555651184735,EWMA-t,0.0413411747438678,0.05629344843954672,False,False
2025-04-08,Equal Weighted Portfolio,-0.02336673810326937,EWMA-t,0.04014280269587673,0.05466164925839293,False,False
2025-04-09,Equal Weighted Portfolio,0.1320817114166876,EWMA-t,0.03998991876668065,0.054453470278507714,False,False
2025-04-10,Equal Weighted Portfolio,-0.04239129977605918,EWMA-t,0.06481570449105564,0.08825824475104822,False,False
2025-04-11,Equal Weighted Portfolio,0.02730546072405873,EWMA-t,0.06501467236243087,0.08852917531066057,False,False
2025-04-14,Equal Weighted Portfolio,0.003306813472991022,EWMA-t,0.0639421068560332,0.08706868437380373,False,False
2025-04-15,Equal Weighted Portfolio,-0.004990363983711022,EWMA-t,0.06200780974292021,0.0844347907924429,False,False
2025-04-16,Equal Weighted Portfolio,-0.038717059734566614,EWMA-t,0.060150823307520494,0.08190616961024928,False,False
2025-04-17,Equal Weighted Portfolio,-0.00973923595584374,EWMA-t,0.06027309105428092,0.0820726591486023,False,False
2025-04-21,Equal Weighted Portfolio,-0.02830724952284265,EWMA-t,0.05856230073306707,0.07974311028273673,False,False
2025-04-22,Equal Weighted Portfolio,0.027583771810581095,EWMA-t,0.057859189743744106,0.07878569815137,False,False
2025-04-23,Equal Weighted Portfolio,0.030252875466657114,EWMA-t,0.057135688663789555,0.0778005212425687,False,False
2025-04-24,Equal Weighted Portfolio,0.02915877238541076,EWMA-t,0.05665820733917215,0.07715034450001777,False,False
2025-04-25,Equal Weighted Portfolio,0.017404388286613236,EWMA-t,0.05611618216791483,0.07641227969609886,False,False
2025-04-28,Equal Weighted Portfolio,-0.006748736748452444,EWMA-t,0.054835459585354726,0.07466834544378533,False,False
2025-04-29,Equal Weighted Portfolio,0.0022507175605756212,EWMA-t,0.05323114921746555,0.07248378819461825,False,False
2025-04-30,Equal Weighted Portfolio,-0.0029564615187145375,EWMA-t,0.051617102891615495,0.07028597368677682,False,False
2025-05-01,Equal Weighted Portfolio,0.029592055435856635,EWMA-t,0.05005814092994031,0.06816316645276628,False,False
2025-05-02,Equal Weighted Portfolio,0.0058304652005172885,EWMA-t,0.04990879243136907,0.06795980159785028,False,False
2025-05-05,Equal Weighted Portfolio,-0.01060251950244371,EWMA-t,0.048442659780891656,0.0659633981749546,False,False
2025-05-06,Equal Weighted Portfolio,-0.004647494929214169,EWMA-t,0.04715160377320177,0.06420539310490665,False,False
2025-05-07,Equal Weighted Portfolio,-0.007070338580994507,EWMA-t,0.04575169370441595,0.062299163643227254,False,False
2025-05-08,Equal Weighted Portfolio,0.011450729034045938,EWMA-t,0.044444965685559806,0.06051981830991882,False,False
2025-05-09,Equal Weighted Portfolio,-0.000656894540065878,EWMA-t,0.04332563120424136,0.05899564299799078,False,False
