Asset,Jarque-Bera Statistic,P-Value
S&P 500,29737.03073467063,0.0
AAPL,4793.514474324126,0.0
AMZN,2699.6571678995715,0.0
GOOG,2343.2278467914775,0.0
MSFT,6887.34277773388,0.0
NVDA,4573.051705319041,0.0
