Portfolio,Peak Date,Trough Date,Maximum Drawdown,Ticker,Weight,Asset Cumulative Return During Drawdown,Weighted Asset Return Contribution,Asset Drawdown Loss Contribution,Drawdown Contribution Percentage
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.2608101703045075,AAPL,0.2,-0.2907233396827753,-0.05814466793655507,0.05814466793655507,0.2300329884475198
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.2608101703045075,GOOG,0.2,-0.2401644828040811,-0.04803289656081622,0.04803289656081622,0.19002861537934146
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.2608101703045075,NVDA,0.2,-0.33336432508160463,-0.06667286501632093,0.06667286501632093,0.2637723962031638
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.2608101703045075,MSFT,0.2,-0.160810426140493,-0.0321620852280986,0.0321620852280986,0.12724022412160133
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.2608101703045075,AMZN,0.2,-0.23877067753405878,-0.04775413550681176,0.04775413550681176,0.1889257758483737
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.2436976790942057,AAPL,0.3001746390654041,-0.2490665880302677,-0.0747634731652373,0.0747634731652373,0.331135467092861
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.2436976790942057,GOOG,0.2633780163772112,-0.2426742537632225,-0.06391506358197752,0.06391506358197752,0.28308669377506784
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.2436976790942057,NVDA,0.0,-0.186717951553647,-0.0,0.0,0.0
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.2436976790942057,MSFT,0.3558301586924847,-0.1824583332092481,-0.064924177660613,0.064924177660613,0.28755616860859273
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.2436976790942057,AMZN,0.0806171858648999,-0.27508280949166397,-0.022176401981028323,0.022176401981028323,0.09822167052347847
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655506554822,AAPL,0.3871573060539812,-0.2907233396827753,-0.11255566499859977,0.11255566499859977,0.36264843128620217
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655506554822,GOOG,0.0,-0.2401644828040811,-0.0,0.0,0.0
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655506554822,NVDA,0.5752645443957581,-0.33336432508160463,-0.1917726765858687,0.1917726765858687,0.6178814751641922
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655506554822,MSFT,0.0375781495502606,-0.160810426140493,-0.006042958242748583,0.006042958242748583,0.01947009354960553
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655506554822,AMZN,0.0,-0.23877067753405878,-0.0,0.0,0.0
