Portfolio,Ticker,Weight,Asset Daily Volatility,Asset Annualized Volatility,Marginal Contribution to Risk,Component Contribution to Risk,Percentage Contribution to Risk,Weight Minus Risk Contribution,Risk Contribution Minus Weight,Portfolio Daily Volatility,Portfolio Annualized Volatility
Equal Weighted Portfolio,AAPL,0.2,0.014138896955363668,0.22444803093996346,0.00804947414312684,0.001609894828625368,0.1414455954025858,0.058554404597414206,-0.058554404597414206,0.011381724712199394,0.1806792784768668
Equal Weighted Portfolio,GOOG,0.2,0.017991560236656857,0.28560716450539464,0.011598469869092755,0.002319693973818551,0.20380865224513897,-0.0038086522451389604,0.0038086522451389604,0.011381724712199394,0.1806792784768668
Equal Weighted Portfolio,NVDA,0.2,0.021210488525790057,0.336706066952577,0.015220263215750785,0.003044052643150157,0.26745091101065005,-0.06745091101065004,0.06745091101065004,0.011381724712199394,0.1806792784768668
Equal Weighted Portfolio,MSFT,0.2,0.014957558606933019,0.23744388176771092,0.008252962664691365,0.0016505925329382731,0.14502130166345537,0.054978698336544646,-0.054978698336544646,0.011381724712199394,0.1806792784768668
Equal Weighted Portfolio,AMZN,0.2,0.018800131729101135,0.29844283902273805,0.013787453668335215,0.0027574907336670434,0.24227353967816959,-0.042273539678169575,0.042273539678169575,0.011381724712199394,0.1806792784768668
Long-only Global Minimum Variance Portfolio,AAPL,0.3001746390654041,0.014138896955363668,0.22444803093996346,0.009347275209327712,0.0028058149622049453,0.2703339712328537,0.029840667832550405,-0.029840667832550405,0.010379069080401074,0.1647626137626066
Long-only Global Minimum Variance Portfolio,GOOG,0.2633780163772112,0.017991560236656857,0.28560716450539464,0.012284792055468239,0.0032355441631757476,0.311737414802014,-0.0483593984248028,0.0483593984248028,0.010379069080401074,0.1647626137626066
Long-only Global Minimum Variance Portfolio,NVDA,0.0,0.021210488525790057,0.336706066952577,0.009555977212698182,0.0,0.0,0.0,0.0,0.010379069080401074,0.1647626137626066
Long-only Global Minimum Variance Portfolio,MSFT,0.3558301586924847,0.014957558606933019,0.23744388176771092,0.009608116446213294,0.0034188575997919483,0.32939925279501414,0.026430905897470547,-0.026430905897470547,0.010379069080401074,0.1647626137626066
Long-only Global Minimum Variance Portfolio,AMZN,0.0806171858648999,0.018800131729101135,0.29844283902273805,0.01139772302109708,0.0009188523552284316,0.08852936117011803,-0.007912175305218136,0.007912175305218136,0.010379069080401074,0.1647626137626066
Long-only Tangency Portfolio,AAPL,0.3871573060539812,0.014138896955363668,0.22444803093996346,0.008187680901940345,0.003169920480824855,0.2148052796214107,0.1723520264325705,-0.1723520264325705,0.014757181417569279,0.2342629924989116
Long-only Tangency Portfolio,GOOG,0.0,0.017991560236656857,0.28560716450539464,0.0059248446546373785,0.0,0.0,0.0,0.0,0.014757181417569279,0.2342629924989116
Long-only Tangency Portfolio,NVDA,0.5752645443957581,0.021210488525790057,0.336706066952577,0.019764837933477334,0.011370010488857836,0.7704730440815195,-0.19520849968576137,0.19520849968576137,0.014757181417569279,0.2342629924989116
Long-only Tangency Portfolio,MSFT,0.0375781495502606,0.014957558606933019,0.23744388176771092,0.005781297123106334,0.00021725044788658117,0.0147216762970693,0.0228564732531913,-0.0228564732531913,0.014757181417569279,0.2342629924989116
Long-only Tangency Portfolio,AMZN,0.0,0.018800131729101135,0.29844283902273805,0.007320057210859496,0.0,0.0,0.0,0.0,0.014757181417569279,0.2342629924989116
