Portfolio,Model,Refit Frequency,Number of Successful Fits,Number of Failed Refits,Latest Fit End Date,Latest mu,Latest omega,Latest alpha[1],Latest beta[1],Latest alpha[1] + beta[1],Latest nu,Average mu,Average omega,Average alpha[1],Average beta[1],Average alpha[1] + beta[1],Average nu,Stationarity Warning
Equal Weighted Portfolio,GARCH-t,20,18,0,2026-05-14,0.21709831540622282,0.06381939324009049,0.1261160354968155,0.8608294372092578,0.9869454727060732,5.548797449543644,0.21931359849356794,0.06250045555483265,0.12788658466661845,0.8609129037228068,0.9887994883894251,5.527167134869529,None
Long-only Global Minimum Variance Portfolio,GARCH-t,20,18,0,2026-05-14,0.16808252103093654,0.03741739916829216,0.11435782634517797,0.8774827218478761,0.9918405481930541,5.489719131031401,0.17137550724774794,0.034804637096383644,0.11384293279613107,0.8800224113124823,0.9938653441086134,5.461143086164741,None
Long-only Tangency Portfolio,GARCH-t,20,18,0,2026-05-14,0.2623769713719377,0.17078320083735593,0.1060518779038333,0.8664371343680142,0.9724890122718475,5.053658615585238,0.2670636746913018,0.17518341184315486,0.11066581857237627,0.8634752602566176,0.9741410788289938,4.97416862287619,None
