Date,Portfolio,Return,Model,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-04-21,Equal Weighted Portfolio,-0.02830722791628804,GARCH-t,0.06116789372354032,0.08665255752633527,False,False
2025-04-22,Equal Weighted Portfolio,0.02758373010896116,GARCH-t,0.059286856735870454,0.08401455058372027,False,False
2025-04-23,Equal Weighted Portfolio,0.030252856529561445,GARCH-t,0.056876766027233676,0.08063458726381151,False,False
2025-04-24,Equal Weighted Portfolio,0.029158742800450235,GARCH-t,0.055092552695795854,0.07813236791018267,False,False
2025-04-25,Equal Weighted Portfolio,0.017404452229416292,GARCH-t,0.053333109418319674,0.07566488661579882,False,False
2025-04-28,Equal Weighted Portfolio,-0.0067487420976075855,GARCH-t,0.05032184010821367,0.07144181742672163,False,False
2025-04-29,Equal Weighted Portfolio,0.0022507338050064885,GARCH-t,0.04708846178937435,0.06690725776143554,False,False
2025-04-30,Equal Weighted Portfolio,-0.002956495619405475,GARCH-t,0.04377244760647854,0.06263756997584648,False,False
2025-05-01,Equal Weighted Portfolio,0.029592046570970344,GARCH-t,0.04081782649156433,0.05846977006390786,False,False
2025-05-02,Equal Weighted Portfolio,0.005830440040310369,GARCH-t,0.0408320287060163,0.058489803762253635,False,False
2025-05-05,Equal Weighted Portfolio,-0.01060246410118153,GARCH-t,0.03805156752350549,0.05456767452100444,False,False
2025-05-06,Equal Weighted Portfolio,-0.004647504935994329,GARCH-t,0.03610369939533482,0.051820004245422095,False,False
2025-05-07,Equal Weighted Portfolio,-0.0070703370490625035,GARCH-t,0.0338293914879442,0.048611856761368394,False,False
2025-05-08,Equal Weighted Portfolio,0.01145071835760856,GARCH-t,0.031920557702721175,0.04591924848012385,False,False
2025-05-09,Equal Weighted Portfolio,-0.0006569079914231948,GARCH-t,0.030182820540374723,0.043467989753364814,False,False
2025-05-12,Equal Weighted Portfolio,0.051193426083761165,GARCH-t,0.02819945355495966,0.040670244653179644,False,False
2025-05-13,Equal Weighted Portfolio,0.017504054707845218,GARCH-t,0.037436480067671744,0.05370002978939463,False,False
2025-05-14,Equal Weighted Portfolio,0.01575545247867114,GARCH-t,0.03584377237169686,0.05145335018586757,False,False
2025-05-15,Equal Weighted Portfolio,-0.007654227101124156,GARCH-t,0.03419274781313348,0.049124408591612184,False,False
2025-05-16,Equal Weighted Portfolio,0.004033021163074091,GARCH-t,0.03230322113780235,0.04645903499386092,False,False
2025-05-19,Equal Weighted Portfolio,0.0010086287524740055,GARCH-t,0.030131381200477404,0.04339542922260435,False,False
2025-05-20,Equal Weighted Portfolio,-0.008965474356683802,GARCH-t,0.028117537838522978,0.04055469402842175,False,False
2025-05-21,Equal Weighted Portfolio,-0.008053056832776174,GARCH-t,0.026933013065806807,0.038883798826835514,False,False
2025-05-22,Equal Weighted Portfolio,0.0060795351278394305,GARCH-t,0.025758991529225672,0.03722771953055017,False,False
2025-05-23,Equal Weighted Portfolio,-0.01528260724792072,GARCH-t,0.024174510875837253,0.034992645024947304,False,False
